"paper","id","preliminary_decision","review","confidence","assessment","id","lan","orientation","remarks","text","timespan"
"","1","accept","","4","1","1","is","0","","- The article deals with a contingent and very relevant problem, and includes both a national diagnosis of the use of good practices and a solution (concrete good practices). - The language is appropriate. - The article feels like the concatenation of three different articles: (1) results of a survey, (2) good security practices, (3) incorporation of good practices. - The order of the sections would be better if it reflected this order (revised version is #2, #1, #3). - The article has no validation of any kind, not even by expert evaluation.","2010-07-05"
"","","","","4","1","2","is","1","","The article presents practical recommendations for the development of secure software. Recommended best practices for developing software that is proactive against attacks are described, and a cost analysis of these practices in software development is performed. All based on a review of practices proposed in the literature and its contrast with data obtained from a survey in companies. Finally a guide is recommended. It would be ideal to apply the proposed guide to companies not involved in the survey that served to originate it, so that its effectiveness can be independently evaluated.","2010-07-05"
"","","","","5","1","3","is","1","","The topic is very interesting and a guide to incorporate security practices can be very helpful. - The presentation (description, stage and use) of the 9 practices for the development of secure software. - The “real state of software development in Chile” (as indicated in his paper) cannot be achieved with only 22 surveys out of a total of 50. - Presents nine tables that correspond to the practices for the development of secure software, but the guide presents 10 practices. explain why? - I suggest improving the guide, the greatest contribution is in the incorporation sequence that it proposes. Also, it should not explain the practice in Remarks or differentiate it from other practices in that column, but should give suggestions on how to apply it. - In the text it indicates ""Later on, three extra practices will also be presented..."" What are they or did I not read correctly? - According to format, put at least 5 keywords. - I suggest mentioning the practices before showing each table. - Some references are incomplete, for example, missing year in reference 17, missing year and type of event in reference 11, missing editorial in reference 19 (is it a book?) - Some titles have a comma inside the quotes, example, reference 1","2010-07-05"
"","2","accept","","4","2","1","is","1","","An experience of using ICT for academic collaboration is explained in an orderly and didactic way. The originality of the work is not its strong dimension, see long-standing works such as Gorton et al. (1997) and current as Lanunile et al. (2010). However, the relevance of the topic as a reference pattern in activities related to scientific theses, associated with its good presentation, make it a contribution. It is suggested, with a view to publication in a journal, that the efficiency and effectiveness of the activities be compared without the support of these tools versus the current reality (with tools). Examples of possible questions to answer from this exploratory analysis: What are the main activities where the use of collaborative tools is key? What changes in the design of these tools should be developed in the future? Are there student/academic profiles more conducive to the adoption of these platforms? References: Gorton, I., Hawryszkiewycz, I., and Ragoonaden, K. 1997. Collaborative tools and processes to support software engineering shift work. BT Technology Journal 15, 3 (Jul. 1997), 189-198. Filippo Lanubile, Christof Ebert, Rafael Prikladnicki, Aurora Vizcaíno, ""Collaboration Tools for Global Software Engineering,"" IEEE Software, vol. 27, no. 2, p. 52-55, Mar./Apr. 2010.","2010-07-05"
"","","","","4","2","2","is","0","","","2010-07-05"
"","","","","4","2","3","is","0","","The authors describe a methodology for collaboratively developing theses and reports using technologies commonly used in software development. They also describe specific tools and their benefits, such as Latex and Git. Finally, they propose a workflow for the development of projects of this nature. The main value of the article lies in the application of knowledge that students already master - that is, software development techniques and tools - to a different problem, such as the case of theses and reports. All this, with the aim of making the process more efficient. 1.- The emphasis of the article is the solution without making a detailed analysis of the problem that is intended to be solved. In other words, there are no answers to the following questions: a.- what exactly is the problem? b.- What impacts does this problem generate? c.- Why is it important to solve the problem? d.- What solutions have been implemented to date? e.- What advantages does the proposed solution have with respect to the previous ones? 2.- In my opinion, the article should emphasize more the methodology and workflow. For example, adding a diagram -using a visual language- that allows, on the one hand, to understand the general thesis development process and, on the other, to distinguish the roles, activities and associated technologies in each phase of the report. 3.- Some aspects of the language and the rigor of certain statements must be taken care of, such as: ""(given the rather atrocious spelling enjoyed by engineers)"". Do the authors have any empirical support to support this claim? Is it necessary to resort to such prosaic language to justify the convenience of using a certain technological tool? By the way, I recommend reviewing the expressions: ""it is not public"" (point 3.1) and ""Having access directly..."" (point 3.2)","2010-07-05"
"","3","accept","","4","2","1","is","1","","This work proposes a new approach based on [25] to support the recommendation of SRs by evolving the weights of user characteristics through 2 approaches using genetic algorithms. The work seems technically correct and the proposal presents robust results according to what is presented in the document. The document has a series of apparently confusing typographical errors, where the names of variables, abbreviations or presentation format of subscript variables, etc. are changed. For example: equation 2, function w, abbreviation CF, figure 3, figure 6. Apparently the approach uses only part of the DB for efficiency reasons, it would be good to use some indexing technique to support this process.","2010-07-05"
"","","","","3","2","2","on","1","","This paper aims to show new deployment alternative for recommender systems. To this end, the authors use 2 variations CHC genetic algorithm.  - It's a good job. - It is clear and very detailed.  - There are inconsistencies in the notation should be improved. The formula (7) has a notation different from the rest of the equations. - On the same point, the figure (3) refers to ""perfil"", ""pesos"", ""euclidiana"" and ""vecindad""; these words aren't related with the text. - I think that the results shown in graphs would be more useful if they are shown in tables.","2010-07-05"
"","","","","3","0","3","on","-1","","The paper is well structured. It follows a logical sequence of sections.  The paper does not fix to the Infonor conference template.  The english grammar is poor. It makes the paper difficult to read and follow. Either:  a) rewrite the paper in spanish, or b) make the paper reviewed by a professional traslator  Most of the references are not recent (2005-2010). No new work since 2003? Some references do not indicate year.  Problems with equations, fonts, etc.  Figures 5-17 are not referenced/discussed/explained. It may be better to present these figures as a table.  Both, result analysis and conclusions, declare that GA CHC is better than Pearson´s correlation Algorithm. However, this analysis and conclusion is not supported for a wide variety of situations and conditions. Therefore, a true validation work is missing.","2010-07-05"
"","4","accept","","4","2","1","is","2","muy buen trabajo","Se realiza un trabajo de modelamiento de encriptación cuántica novedosa  No veo aspectos negativos","2010-07-05"
